Data;Negozio;Prodotto;Quantità;Prezzo_unitario
2025-10-04;Napoli;Cuffie;6;1593.21
2025-10-21;Roma;Tastiera;5;1266.25
2025-09-22;Bologna;Monitor;10;813.07
2025-10-28;Roma;Laptop;7;1383.61
2025-09-08;Torino;Stampante;3;841.29
2025-10-10;Firenze;Mouse;3;1079.45
2025-09-30;Firenze;Tastiera;4;1620.06
2025-10-21;Roma;Smartphone;1;1756.25
2025-09-06;Torino;Cuffie;4;333.1
2025-10-16;Milano;Mouse;1;1314.78
2025-09-04;Firenze;Smartphone;2;1718.01
2025-09-06;Torino;Tablet;8;307.4
2025-10-16;Torino;Cuffie;9;1431.09
2025-09-24;Bologna;Cuffie;2;1245.88
2025-10-02;Napoli;Smartphone;4;87.15
2025-09-27;Roma;Smartphone;7;453.87
2025-10-27;Milano;Tastiera;5;195.11
2025-09-25;Roma;Stampante;6;1645.73
2025-10-09;Firenze;Mouse;6;1589.0
2025-09-15;Torino;Laptop;1;1457.96
2025-10-01;Napoli;Cuffie;5;1498.51
2025-10-13;Roma;Laptop;1;1910.81
2025-09-18;Milano;Laptop;9;49.5
2025-10-31;Milano;Tablet;8;1183.08
2025-09-13;Bologna;Cuffie;4;1746.79
2025-10-28;Napoli;Cuffie;3;1053.95
2025-10-12;Bologna;Laptop;2;1466.21
2025-10-02;Milano;Monitor;1;1053.09
2025-10-06;Firenze;Tastiera;3;537.48
2025-09-28;Torino;Monitor;9;1837.24
